,rank,major,degree,early career pay,mid career pay,percent high meaning
0,1,Petroleum Engineering,Bachelors,97500,212500,61
1,2,Operations Research & Industrial Engineering,Bachelors,98300,191800,21
2,3,Interaction Design,Bachelors,74700,173600,54
3,4,Applied Economics and Management,Bachelors,76500,164400,54
4,5,Building Science,Bachelors,69000,163100,47
5,6,Actuarial Mathematics,Bachelors,70700,160000,52
6,6,Operations Research,Bachelors,92200,160000,57
7,8,Systems Engineering,Bachelors,87000,159100,58
8,9,Optical Science & Engineering,Bachelors,79600,158300,73
9,10,Information & Computer Science,Bachelors,76000,157800,63
10,11,Aeronautics & Astronautics,Bachelors,88200,156900,56
11,12,Aerospace Studies,Bachelors,62600,154300,0
12,13,Pharmacy,Bachelors,69400,154000,79
13,14,Cognitive Science,Bachelors,78000,153800,43
14,15,Managerial Economics,Bachelors,74700,153300,38
15,16,Quantitative Economics,Bachelors,74500,152700,43
16,17,Econometrics,Bachelors,72000,152100,35
17,18,Foreign Affairs,Bachelors,62900,152000,32
18,19,Chemical Engineering,Bachelors,85600,151800,55
19,20,Public Accounting,Bachelors,69700,151200,47
20,21,Political Economy,Bachelors,73100,150600,31
21,22,Corporate Accounting & Finance,Bachelors,76800,149600,50
22,23,Actuarial Science,Bachelors,76700,149000,42
23,24,Computer Engineering (CE),Bachelors,89100,148500,46
24,25,Electrical Power Engineering,Bachelors,84700,148300,72
25,26,Computer Science (CS) & Engineering,Bachelors,90500,148200,44
26,27,Marine Transportation Management,Bachelors,78700,148000,0
27,28,Marine Engineering,Bachelors,87900,147500,57
28,28,Operations & Information Systems Management,Bachelors,78800,147500,24
29,30,Electrical & Computer Engineering (ECE),Bachelors,88100,147000,49
30,31,Entrepreneurship & Marketing,Bachelors,63200,145800,45
31,32,Astronomy,Bachelors,75300,145600,52
32,33,Mechatronics,Bachelors,80900,144300,46
33,34,Computational & Applied Mathematics,Bachelors,85700,144100,46
34,35,Aeronautical Engineering,Bachelors,84200,143400,63
35,36,Welding Engineering,Bachelors,86600,143300,0
36,37,Electrical Engineering (EE),Bachelors,84900,143000,54
37,38,Electrical & Electronics Engineering (EEE),Bachelors,83900,142900,57
38,39,Naval Architecture & Marine Engineering,Bachelors,82800,142800,49
39,40,Instrumentation & Control Engineering,Bachelors,82800,141900,44
40,41,Construction Engineering Management,Bachelors,78100,141800,53
41,42,Computer Science (CS) & Mathematics,Bachelors,80300,141000,44
42,43,Engineering Physics,Bachelors,78600,140300,48
43,44,Mechanical & Aeronautical Engineering,Bachelors,80900,139900,62
44,45,Chemical & Biomolecular Engineering,Bachelors,86000,139700,51
45,45,Computer Science (CS),Bachelors,85400,139700,42
46,47,Jazz Studies,Bachelors,60000,139400,51
47,48,Bioscience,Bachelors,59900,139300,0
48,49,Information Management,Bachelors,67000,139000,33
49,50,Aerospace Engineering,Bachelors,83500,138100,53
50,51,Ocean Engineering (OE),Bachelors,78500,137800,49
51,51,Pharmacology,Bachelors,63500,137800,0
52,53,Nuclear Engineering,Bachelors,85200,137600,55
53,54,Bioengineering (BioE),Bachelors,79500,137300,67
54,55,Applied Mathematics,Bachelors,77200,137000,40
55,56,Paper Science,Bachelors,84900,136500,43
56,56,Physician Assistant Studies,Bachelors,109600,136500,83
57,58,Materials Science,Bachelors,76700,136200,0
58,59,Engineering,Bachelors,77800,135800,58
59,60,Industrial & Systems Engineering,Bachelors,82000,135700,48
60,61,Metallurgical Engineering,Bachelors,90800,135500,63
61,62,Materials Science & Engineering,Bachelors,81200,135300,47
62,63,Mining Engineering,Bachelors,87400,135200,59
63,64,Operations Management & Information Systems,Bachelors,75900,134900,43
64,65,Business & Information Technology (IT),Bachelors,71400,134700,50
65,66,Interactive Media Design,Bachelors,59600,134400,33
66,67,Energy Management,Bachelors,70100,134100,66
67,67,Physics,Bachelors,75500,134100,49
68,69,Materials Engineering,Bachelors,81200,133900,58
69,70,Biomedical Engineering (BME),Bachelors,80300,133500,71
70,71,Industrial Engineering (IE),Bachelors,80500,133400,44
71,71,Software Engineering,Bachelors,84200,133400,45
72,73,Global & International Studies,Bachelors,59400,133300,55
73,74,Computer & Information Science,Bachelors,72600,133100,58
74,75,Aeronautical/Aerospace Engineering Technology,Bachelors,82400,132800,51
75,76,Economics and Mathematics,Bachelors,77100,132700,38
76,76,Industrial Hygiene,Bachelors,65100,132700,54
77,78,Engineering Mechanics,Bachelors,82800,131900,0
78,79,Business & Economics,Bachelors,66500,131700,44
79,80,Astrophysics,Bachelors,78600,131200,61
80,81,Electronics Engineering,Bachelors,77700,130900,65
81,81,Telecommunications Engineering,Bachelors,78000,130900,50
82,83,International Business & Finance,Bachelors,69000,130800,30
83,84,International Economics,Bachelors,66200,130600,54
84,85,Business Analysis,Bachelors,71000,130300,47
85,85,Management Science,Bachelors,73000,130300,43
86,85,Mechanical Engineering (ME),Bachelors,79600,130300,49
87,88,Economics,Bachelors,70500,130200,41
88,89,Ceramic Engineering,Bachelors,76400,129900,46
89,90,Management Information Systems (MIS),Bachelors,73900,129500,42
90,91,Industrial Distribution,Bachelors,71400,129200,48
91,92,Structural Engineering (SE),Bachelors,76200,128900,67
92,93,Accounting & Taxation,Bachelors,61900,128600,0
93,94,Integrated Science & Technology,Bachelors,71600,128400,55
94,95,Automotive Engineering,Bachelors,75700,128300,50
95,96,Mathematics & Statistics,Bachelors,71800,128100,43
96,97,Packaging Science,Bachelors,78600,127600,41
97,98,Construction Project Management,Bachelors,69400,127400,64
98,99,Plastics Engineering,Bachelors,79200,127200,58
99,100,Information & Decision Sciences,Bachelors,73200,126800,36
100,101,Applied Physics,Bachelors,75800,126500,53
101,102,Building Construction (BC),Bachelors,73200,125900,51
102,102,Petroleum Land Management,Bachelors,66600,125900,0
103,104,Industrial Engineering & Management,Bachelors,74800,125700,54
104,105,Accounting & Economics,Bachelors,74500,125400,48
105,105,Psychobiology,Bachelors,58600,125400,69
106,107,Finance & Economics,Bachelors,70300,124800,42
107,108,Medicine,Bachelors,88700,124700,94
108,109,Asian Studies,Bachelors,53100,123800,43
109,110,Marketing & International Business,Bachelors,59600,123500,36
110,111,Government,Bachelors,63500,123400,45
111,112,Business Computer Information Systems (BCIS),Bachelors,74200,123300,40
112,112,Finance & Real Estate,Bachelors,73500,123300,42
113,114,Biochemistry & Molecular Biology,Bachelors,61700,123100,70
114,114,Environmental Health & Safety Management,Bachelors,67500,123100,61
115,114,Financial Economics,Bachelors,70500,123100,36
116,117,Business Economics,Bachelors,66500,122800,45
